"PRODUCT -   High technology manufactures: electronic and electrical (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",21295410.56,22602810.589,26692372.38,29653699.283,35358323.626,49622266.28,54656742.049,71172444.53900001,101034728.759,128634422.449,150742978.762,180517767.232,215639498.453,224358783.861,213226103.55,273480807.444,288917855.23,305125866.104,326576747.405,342384363.827,337755683.357,341010065.361,379325424.127
"  Developing economies",12421800.803,14180976.471,17507843.689,18662090.612,22531272.944,32422805.321,36530724.53,51576979.573,73145305.31,95180071.117,115498916.434,136949465.594,166451474.456,172132771.132,167382408.031,218036435.307,231839013.427,251620329.27,273881909.475,287985673.759,286184626.928,287331388.823,319861207.827
"  Transition economies",160145.989,179390.335,215330.504,93704.989,104498.171,45226.936,160616.703,267480.511,366813.547,361277.284,410297.017,302669.407,356717.152,251760.392,341060.288,199656.98,203083.701,111675.864,186796.206,275220.988,285620.16,334012.692,884309.965
"  Developed economies",8713463.767999999,8242443.783,8969198.187000001,10897903.682,12722552.511,17154234.023,17965400.816,19327984.455,27522609.902,33093074.048,34833765.311,43265632.231,48831306.845,51974252.337,45502635.231,55244715.157,56875758.102,53393860.97,52508041.724,54123469.08,51285436.269,53344663.846,58579906.335
"    Developing economies: Africa",3313.406,3599.089,6493.154000000001,6827.69,10469.626,16347.579,22765.23,42363.972,48841.295,77084.249,108050.67,154266.588,168452.077,150327.128,125892.288,119305.337,137147.212,111425.814,89468.913,114375.201,104684.635,151576.192,112760.856
"      Developing economies: Eastern Africa",99.40000000000001,47.027,1258.328,137.198,14.484,126.358,730.898,19.576,129.971,195.218,864.79,271.505,1306.065,6577.093,18929.848,1810.641,1903.75,1334.554,2583.631,2904.209,3272.006,27241.098,3760.818
"      Developing economies: Middle Africa","..","..",1.635,3.749,86.39,3.045,0.846,7.385,31.542,11.526,772.258,11.591,64.789,68.792,50.541,95.502,99.908,104.499,97.02500000000001,115.234,95.432,102.599,153.669
"      Developing economies: Northern Africa",264.804,481.235,2020.092,3849.363,7367.593,15547.729,18770.228,39750.412,46531.455,73132.636,102175.509,144309.854,154094.255,132112.646,97509.135,104624.923,114842.178,92100.599,77071.87,98076.459,92378.637,95914.785,74700.016
"      Developing economies: Southern Africa",2872.739,3053.696,3212.206,2671.995,2900.616,661.674,3115.791,2480.187,2061.262,3585.03,4021.023,8900.717000000001,11854.503,10374.079,6451.154000000001,11181.083,13714.351,16806.873,6751.136,11062.057,7445.791,26733.253,31435.854
"      Developing economies: Western Africa",76.46299999999999,17.131,0.893,165.385,100.543,8.773,147.467,106.412,87.065,159.839,217.09,772.9210000000001,1132.465,1194.518,2951.61,1593.188,6587.025,1079.289,2965.251,2217.242,1492.769,1584.457,2710.499
"    Developing economies: America",25547.9,11670.283,11026.04,82012.799,128349.574,208452.052,282121.909,530619.375,613001.823,532289.237,744688.258,1343194.112,1464321.74,1455581.3,1348497.435,1280434.223,1495317.167,2326787.552,2028883.013,1700391.041,1013060.66,1219010.553,1471617.049
"      Developing economies: Caribbean",9.009,"..",29.601,50.827,80.05800000000001,7.774,247.611,1407.588,960.253,2012.626,6038.871,15826.365,11950.624,11854.371,6233.355,9195.749,2502.415,5967.45,4174.645,8546.190000000001,8830.803,7514.009,11026.414
"      Developing economies: Central America",153.128,551.153,5153.212,78113.07000000001,114755.287,187057.941,217710.059,459132.676,559551.753,478426.217,665488.5500000001,1219313.392,1390426.984,1352441.969,1228124.307,1193784.217,1372361.367,2180341.546,1906357.016,1565331.095,812808.892,1144922.715,1376805.655
"      Developing economies: South America",25385.763,11119.13,5843.227,3848.902,13514.229,21386.337,64164.239,70079.111,52489.817,51850.394,73160.837,108054.355,61944.132,91284.96000000001,114139.773,77454.257,120453.385,140478.556,118351.352,126513.756,191420.965,66573.829,83784.98
"    Developing economies: Asia",12392937.497,14165703.953,17490323.539,18573248.814,22392453.744,32198005.69,36225837.387,51003993.134,72483456.897,94570692.419,114646150.715,135451994.939,164817917.084,170526750.799,165893679.039,216636622.504,230206497.929,249181904.406,271763379.806,286170740.344,285066741.576,285960621.147,318276640.515
