"PRODUCT -   High technology manufactures: other (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",5155208.873,6280732.901,7810218.213000001,9826649.191,8338902.694,8888735.775,11126887.454,13376134.872,18478060.57,25190460.389,30140210.678,43176461.423,53190008.64,60339583.686,52051738.22,73378814.31,82397549.355,88481930.60600001,87867946.912,89840498.626,85260877.20200001,82525140.31900001,93101528.26100001
"  Developing economies",1606255.003,1916245.11,2166048.027,2280737.687,2504206.538,3397066.153,3889773.443,3787938.043,7826021.302,13168588.101,17187336.056,20083037.881,27555262.017,33245853.902,30661969.441,43228543.304,44919284.691,47373203.91,44237290.797,41473250.864,38383141.436,35625184.204,37525647.112
"  Transition economies",60283.981,125024.869,47825.171,153445.29,140966.877,89890.74000000001,160465.11,249264.726,288871.358,190736.405,186767.548,224386.468,173735.47,269234.25,894305.624,1826596.734,1768924.315,1703825.152,1957974.705,2088305.205,2182000.661,1392394.862,1554692.739
"  Developed economies",3488669.889,4239462.922,5596345.015,7392466.214,5693729.279,5401778.882,7076648.901,9338932.103,10363167.91,11831135.883,12766107.074,22869037.074,25461011.153,26824495.534,20495463.155,28323674.272,35709340.349,39404901.544,41672681.41,46278942.557,44695735.105,45507561.253,54021188.41
"    Developing economies: Africa",1824.413,2073.175,2259.577,2696.377,4910.106,3307.054,1478.04,1918.679,2520.012,5515.46,8475.584999999999,38833.738,51817.169,79525.72199999999,30920.703,148135.837,85627.198,71773.265,76289.955,100521.65,67807.582,74257.46400000001,98596.635
"      Developing economies: Eastern Africa",20.043,5.172,7.865,1088.944,1659.452,8.361000000000001,78.527,22.255,133.162,143.865,297.649,224.091,903.221,286.349,408.552,2167.345,20090.304,1293.244,1416.544,2330.733,548.131,3832.377,2662.087
"      Developing economies: Middle Africa","..",186.146,60,"..",37.976,10.027,21.466,33.393,39.889,29.476,111.25,67.544,59.209,65.56,105.209,29.942,428.379,83.836,24.122,79.80200000000001,103.279,346.8,330.67
"      Developing economies: Northern Africa","..","..",17,28.725,23.865,43.568,518.591,282.717,459.672,605.615,128.083,441.727,938.884,2742.376,1910.149,2878.077,2617.268,3483.832,7992.459,12484.519,6576.627,11566.461,8551.914000000001
"      Developing economies: Southern Africa",1804.37,1880.775,2174.712,1578.708,1685.478,2758.544,859.225,1580.26,1885.137,4724.904000000001,7901.248,37781.671,49517.812,76280.29700000001,28410.994,142733.06,62106.413,54569.46,59234.416,55207.675,48717.365,55264.029,70531.485
"      Developing economies: Western Africa","..",1.082,"..","..",1503.335,486.554,0.231,0.054,2.152,11.6,37.355,318.705,398.043,151.14,85.79900000000001,327.413,384.834,12342.893,7622.414,30418.921,11862.18,3247.797,16520.479
"    Developing economies: America",1429.893,3829.397,7052.464,2976.149,1301.62,43328.098,107865.155,15625.806,28144.375,48956.694,33062.442,40925.147,103433.354,295611.886,401278.107,457549.612,724766.0550000001,1027365.747,494848.086,343198.733,343142.651,502230.506,587046.004
"      Developing economies: Caribbean",31.194,53.34,130.83,81.16,32.802,205.108,104.788,100.787,93.315,668.864,366.419,576.173,829.198,585.566,1059.817,1626.054,1818.96,6074.66,6784.551,9324.518,13006.066,9359.099,17723.186
"      Developing economies: Central America",755.483,291.941,5238.382,2370.002,817.144,1894.836,18842.162,4638.652,5072.473,1117.005,5252.564,18725.96,14868.629,22848.666,24484.829,31539.435,37504.312,70840.624,73089.223,71978.193,99498.591,85044.17200000001,99087.32000000001
"      Developing economies: South America",643.216,3484.116,1683.252,524.987,451.674,41228.154,88918.205,10886.367,22978.587,47170.825,27443.459,21623.014,87735.527,272177.654,375733.461,424384.123,685442.7830000001,950450.463,414974.312,261896.022,230637.994,407827.235,470235.498
"    Developing economies: Asia",1602996.844,1910340.783,2156734.073,2275064.308,2497994.301,3350403.597,3780430.188,3770393.434,7795356.68,13114115.618,17145798.029,20003250.758,27400011.118,32870715.444,30229160.886,42622849.687,44108356.078,46273945.363,43665858.607,41029194.657,37971915.26,35048277.049,36839665.37
