"PRODUCT -   Low technology manufactures: other products (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",11950572.827,12840236.251,12300546.093,10851278.491,10893120.735,12401940.202,11957556.843,16143869.807,26014852.349,29161424.457,34216982.358,33146681.587,39906465.775,43374122.539,39340658.035,47425490.535,53717280.046,50226906.103,48517634.833,49859585.341,45904173.134,45587888.633,48636360.682
"  Developing economies",6203377.651,6959614.708,6756311.904,6368672.199,6195247.616,6941956.197,6374354.021,8362713.228,14197275.989,15808414.982,18607071.173,17426234.024,21648134.209,21593851.6,20239837.497,23598337.325,26700107.396,25724954.446,23912856.084,24267198.512,22295918.177,22015113.086,21772014.064
"  Transition economies",1637532.384,2045420.843,1943010.005,1224445.764,1030534.459,672244.238,656671.517,1325400.831,1974411.483,1491127.878,1588202.498,553075.454,423606.422,577972.583,792964.648,289254.063,211821.29,263552.415,227772.269,179192.973,232615.295,205511.664,118192.917
"  Developed economies",4109662.792,3835200.7,3601224.184,3258160.528,3667338.66,4787739.767,4926531.305,6455755.748,9843164.877,11861881.597,14021708.687,15167372.109,17834725.144,21202298.356,18307855.89,23537899.147,26805351.36,24238399.242,24377006.48,25413193.856,23375639.662,23367263.883,26746153.701
"    Developing economies: Africa",55236.662,60308.659,66089.861,52795.681,59680.633,45203.491,51728.187,95165.00500000001,263444.56,243416.373,283383.019,250305.197,370716.516,228578.832,307953.717,187809.348,170074.884,188346.039,104609.812,85820.208,72078.469,88846.93700000001,97368.37
"      Developing economies: Eastern Africa",123.948,802.18,925.045,864.1900000000001,364.562,1066.389,1085.864,2177.668,15613.571,8346.793,8552.436,2456.908,15404.926,9471.794,35019.963,47088.431,51914.39,89057.80899999999,31683.929,6060.086,1494.462,11141.882,3742.414
"      Developing economies: Middle Africa","..",2,140.863,745.544,8,47.946,126.766,0.009,1.137,2.871,7.185,7.317,18.468,230.88,40.729,97.14,489.782,106.912,315.005,221.274,65.901,58.631,291.661
"      Developing economies: Northern Africa",332.053,186.797,4741.384,129.573,271.871,3523.661,670.675,17836.621,23078.865,33590.7,42440.295,15921.748,4935.415,9971.679,84797.50900000001,80695.20299999999,46167.393,58412.893,24302.728,17437.048,10463.996,7365.839,7722.698
"      Developing economies: Southern Africa",54751.827,59211.956,60112.292,50912.984,58994.608,40522.724,49800.374,74211.364,223145.883,197624.083,229848.503,230605.403,348427.028,205498.31,183980.813,54633.845,63848.949,29534.703,29067.1,55892.309,53483.355,54935.037,72366.326
"      Developing economies: Western Africa",28.834,105.726,170.277,143.39,41.592,42.771,44.508,939.343,1605.104,3851.926,2534.6,1313.821,1930.679,3406.169,4114.703,5294.729,7654.37,11233.722,19241.05,6209.491,6570.755,15345.548,13245.271
"    Developing economies: America",119230.076,138291.425,50624.557,14187.1,18428.261,43914.569,57188.043,210756.988,718023.0500000001,287062.655,510531.818,144724.338,171680.177,101704.045,160009.928,165868.711,228372.85,181030.621,175824.175,174505.801,207959.621,234644.429,178573.315
"      Developing economies: Caribbean",22.663,60.388,68.437,58.657,81.77,7995.822,137.454,231.827,119.971,473.316,1270.734,6539.32,2761.845,1486.037,2004.55,3383.337,5022.795,10142.231,14576.235,15500.255,22816.557,31590.901,21696.799
"      Developing economies: Central America",512.987,35855.363,6805.867,2792.884,1133.417,3982.737,3550.958,22608.807,96995.159,4417.403,75839.285,56776.687,62605.625,42555.564,27142.445,75089.429,125429.47,47314.74,51819.658,60192.985,81358.519,79901.337,84336.747
"      Developing economies: South America",118694.426,102375.674,43750.253,11335.559,17213.074,31936.01,53499.631,187916.354,620907.92,282171.936,433421.799,81408.33100000001,106312.707,57662.444,130862.933,87395.94500000001,97920.58500000001,123573.65,109428.282,98812.561,103784.545,123152.191,72539.769
"    Developing economies: Asia",6028909.952,6761011.115,6639586.617,6301605.768,6117043.148,6852780.134,6265405.456,8056695.39,13215787.236,15276999.633,17812095.221,17031078.18,21105579.585,21263400.2,19755223.965,23243692.078,26301148.659,25355331.698,23631761.907,24006522.178,22015449.084,21691357.115,21495801.757
