"PRODUCT -   Medium technology manufactures: automotive (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",3684927.87,3099863.76,3622503.696,2738188.996,2254106.425,3260563.095,4201622.423,7096322.012,12747891.55,13057749.64,13866787.217,17648216.941,22474877.228,26319053.848,29023886.842,50729837.982,65233134.529,65000420.78,72565541.186,84325718.85600001,63056661.416,66724802.704,73013863.208
"  Developing economies",1586680.022,1421313.574,1448022.849,1139533.577,684550.978,877842.91,1179935.653,1743362.833,3509722.417,4097875.784,5177660.148,5070027.227,5003026.067,4950777.878,5469271.402,7637980.668,9327393.585999999,8701499.169,11317003.403,12714063.39,11069488.958,9483942.498,7351598.145
"  Transition economies",36632.611,42780.111,35614.967,10496.787,32763.83,22958.843,9536.85,37142.004,23699.587,15977.689,19568.065,17379.302,56639.928,54064.459,62978.074,36833.347,36026.655,32993.647,14454.255,12298.971,81322.928,183779.649,166365.323
"  Developed economies",2061615.237,1635770.075,2138865.88,1588158.632,1536791.617,2359761.342,3012149.92,5315817.175,9214469.546,8943896.166999999,8669559.004000001,12560810.412,17415211.233,21314211.511,23491637.366,43055023.967,55869714.288,56265927.964,61234083.528,71599356.49500001,51905849.53,57057080.557,65495899.74
"    Developing economies: Africa",608.3869999999999,684.174,435.798,410.347,528.853,220.482,1166.957,718.294,30261.568,27294.11,15151.724,15405.666,11940.358,7729.433,17012.675,14853.736,36861.228,130416.378,146401.105,31679.216,14954.329,15948.507,17786.167
"      Developing economies: Eastern Africa",72.864,27.348,31.582,0.722,14.706,15.497,26.034,40.396,128.607,8.215999999999999,45.457,173.592,351.287,2527.441,1770.457,261.337,2775.732,253.062,336.656,533.8920000000001,201.999,5940.375,2975.437
"      Developing economies: Middle Africa","..","..","..",4.27,"..",2.315,0.721,"..","..",0.089,1.903,17.148,7.999,0.165,32.311,14.826,258.225,0.132,0.882,13.39,23.768,8.84,67.322
"      Developing economies: Northern Africa",0.62,"..","..","..",2.028,2.206,0.686,30.625,4528.967,185.522,15.75,1214.147,260.764,19.219,1208.229,1709.569,1034.68,1226.857,977.778,1527.468,1508.565,1843.886,773.538
"      Developing economies: Southern Africa",357.517,372.322,377.951,360.898,340.629,165.889,1001.45,630.697,25596.338,27064.212,14920.327,13919.322,11257.292,5010.685,7559.88,11748.177,27953.945,128859.651,143177.032,26375.063,7781.178,4684.635,7875.804
"      Developing economies: Western Africa",177.386,284.504,26.265,44.457,171.49,34.575,138.066,16.576,7.656,36.071,168.287,81.45699999999999,63.016,171.923,6441.798,1119.827,4838.646,76.676,1908.757,3229.403,5438.819,3470.771,6094.066
"    Developing economies: America",69681.738,86568.37,20257.63,12667.229,6493.584,16726.922,129397.605,117182.936,233051.764,131012.134,104693.951,262152.226,265827.403,229325.86,253963.967,667361.466,919154.603,983212.54,1661987.924,2214580.376,1509045.012,1196300.208,1257214.221
"      Developing economies: Caribbean",610.081,14.853,1.813,"..",2.048,0.077,0.902,6.571,21.267,23.636,11.295,8.457000000000001,3.069,131.54,62.756,5.057,105.462,509.366,7802.978,4501.397,99.79900000000001,47.48,74.944
"      Developing economies: Central America",171,2081.464,127.893,329.245,1857.533,5405.851,7966.575,21334.555,48910.629,14223.784,51624.21,199376.978,211503.55,180786.694,208933.428,640514.996,891107.621,937473.918,1614543.833,2184955.123,1432685.835,1174245.525,1240813.591
"      Developing economies: South America",68900.65700000001,84472.053,20127.924,12337.984,4634.003,11320.994,121430.128,95841.81,184119.868,116764.714,53058.446,62766.791,54320.784,48407.626,44967.783,26841.413,27941.52,45229.256,39641.113,25123.856,76259.378,22007.203,16325.686
"    Developing economies: Asia",1516389.897,1334061.03,1427329.421,1126456.001,677528.541,860895.5060000001,1049371.091,1625461.603,3246409.085,3939569.54,5057814.473,4792469.335,4725258.306,4713722.585,5195590.296,6955765.466,8371169.28,7587715.505,9508436.321000001,10456619.139,9545076.618000001,8271293.071000001,6076408.119
