"PRODUCT -   Medium technology manufactures: engineering (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",29874206.179,31048028.217,27435971.324,24226621.5,24699914.94,29753612.541,33569061.323,42378013.487,59509527.857,79426432.263,83162802.102,98141078.655,115390092.109,132738233.963,120533960.848,167593200.714,198648170.014,180096786.935,181771502.96,184812892.88,166316572.53,165389883.642,187967839.759
"  Developing economies",10836379.606,11880324.421,10826285.365,9116328.874,9133307.346000001,11558068.522,12453275.242,15344756.627,22217242.193,29091168.859,32444307.022,38934732.394,44660548.748,48466820.851,43694193.194,60095847.853,70817376.314,71146876.948,76202588.03,76299257.68099999,73666681.751,71061609.62899999,75595379.683
"  Transition economies",304144.443,317978.675,247470.3,545658.436,638843.1850000001,752329.173,358043.895,611952.148,667092.893,407562.294,508004.991,730210.718,673059.019,619556.25,775353.644,980542.777,691200.411,1131785.948,1470548.776,1466158.053,1459006.214,1276460.999,1581708.556
"  Developed economies",18733682.13,18849725.121,16362215.659,14564634.19,14927764.409,17443214.846,20757742.186,26421304.712,36625192.771,49927701.11,50210490.089,58476135.543,70056484.34199999,83651856.862,76064414.01000001,106516810.084,127139593.289,107818124.039,104098366.154,107047477.146,91190884.565,93051813.014,110790751.52
"    Developing economies: Africa",36251.488,35771.678,37306.955,36138.556,29918.381,28669.539,59638.228,14120.425,44813.415,65054.602,56133.43,48900.266,73676.353,57968.137,44203.768,116433.009,289061.34,132045.064,201732.749,158651.085,69401.243,104240.884,228329.145
"      Developing economies: Eastern Africa",92.02800000000001,17.062,379.581,178.004,77.003,97.81,107.336,909.015,1164.703,2546.925,1181.439,415.46,772.981,3075.221,2926.596,5952.412,9200.262000000001,4714.01,1921.586,1314.684,2570.351,5394.367,5212.783
"      Developing economies: Middle Africa",1053.968,2.76,"..","..",25.168,11.425,1.902,0.158,3.678,104.691,79.434,75.89700000000001,39.239,494.195,109.933,270.437,1068.878,297.149,175.111,903.716,361.93,394.81,452.397
"      Developing economies: Northern Africa",504.475,24.333,882.257,329.766,98.17400000000001,1218.109,318.861,632.952,1443.414,3950.416,3426.833,4221.252,3777.352,6637.998,8122.179,10928.932,22671.286,16789.74,12323.976,24429.05,17271.628,14739.5,19013.354
"      Developing economies: Southern Africa",34531.324,35280.668,36034.8,35604.446,29648.283,27316.02,57996.228,12142.302,39955.619,47902.83,44986.692,43117.842,61540.791,44754.799,28178.928,89059.247,44638.049,100880.846,168398.347,103803.19,33737.259,32689.724,30315.314
"      Developing economies: Western Africa",69.693,446.855,10.317,26.34,69.753,26.175,1213.901,435.998,2246.001,10549.74,6459.032,1069.815,7545.99,3005.924,4866.132,10221.981,211482.865,9363.319,18913.729,28200.445,15460.075,51022.483,173335.297
"    Developing economies: America",61412.721,64069.723,60599.86,66122.74800000001,26232.278,62533.49,120504.777,162510.053,298996.767,298085.626,365661.502,406583.481,366951.054,487447.682,306915.594,447900.369,486851.461,596979.591,570801.57,548346.01,1292809.263,1118359.199,826958.666
"      Developing economies: Caribbean",38.937,0.436,107.156,296.172,432.036,4302.423,776.871,1201.009,1085.081,1191.093,4617.329,6602.466,3753.561,14813.582,15081.117,16927.247,33705.273,24896.926,25695.799,22164.674,19805.073,26053.354,29468.622
"      Developing economies: Central America",1739.4,20899.551,21253.394,30031.796,1811.72,19621.533,30046.479,41661.579,65107.447,65203.211,77818.53999999999,110255.44,116811.16,132229.995,106559.125,154086.923,136380.681,208935.034,229076.899,244812.527,343007.89,398588.074,337375.124
"      Developing economies: South America",59634.384,43169.736,39239.31,35794.78,23988.522,38609.534,89681.427,119647.465,232804.239,231691.322,283225.633,289725.575,246386.333,340404.105,185275.352,276886.199,316765.507,363147.631,316028.872,281368.809,929996.3000000001,693717.771,460114.92
"    Developing economies: Asia",10738629.388,11780481.265,10728376.637,9014065.397,9077156.687000001,11466813.015,12273017.374,15168117.866,21873423.815,28727972.697,32022373.368,38479191.555,44219897.697,47921387.104,43333123.241,59531408.226,70040995.934,70417285.82799999,75429108.45299999,75590091.905,72303801.63600001,69838158.852,74539276.59199999
