"PRODUCT -   Medium technology manufactures: process (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",22812875.773,22412531.751,23806549.992,21574300.766,23085468.762,27829004.867,28301574.811,32387192.288,40941731.133,54071404.155,64144852.623,73438356.189,85448931.124,89920031.726,87594719.887,112975569.387,131970794.606,125474926.582,123678244.902,121981826.045,109157083.726,106379283.123,120886535.946
"  Developing economies",14316845.43,14239823.112,15440498.067,13863411.471,14368423.771,18442926.328,18455119.816,20784205.138,26450358.367,34745207.268,41425165.031,46460024.968,53071817.221,53990833.89,53596841.613,71975974.34800001,85724399.70200001,82741372.943,81079348.236,78739153.625,70082753.406,67093085.883,75866105.70900001
"  Transition economies",1697630.843,2003053.998,1662194.249,1149879.323,1478172.363,1479131.496,1330002.746,1350254.895,1474356.107,1962185.925,2254771.462,2518249.221,2663255.911,3179032.114,2781333.185,2554625.308,3292578.779,3727522.275,2600920.596,2615877.777,2539583.356,2242326.321,2729112.381
"  Developed economies",6798399.5,6169654.641,6703857.676,6561009.972,7238872.628,7906947.043,8516452.249,10252732.255,13017016.659,17364010.962,20464916.13,24460082,29713857.992,32750165.722,31216545.089,38444969.731,42953816.125,39006031.364,39997976.07,40626794.643,36534746.964,37043870.919,42291317.856
"    Developing economies: Africa",123284.215,80358.51700000001,111639.165,135062.039,100361.079,86906.909,106613.878,71284.405,152205.597,210231.535,213563.973,306278.318,729498.499,771864.323,1235231.646,1360221.587,1490297.119,1135582.817,1401526,1528103.713,1604546.698,1465743.456,1221772.513
"      Developing economies: Eastern Africa",81.44199999999999,18.986,86.587,246.723,97.017,841.102,2363.212,2844.311,853.3730000000001,681.9160000000001,1181.962,6736.498,13716.396,3852.003,35427.434,70574.728,42458.563,51629.201,57792.042,119672.172,77704.09,83111.258,137388.183
"      Developing economies: Middle Africa",26.152,331.936,227,"..","..",2.725,4.936,7.954,"..",635.979,4950.911,2240.828,2372.398,2892.133,1468.543,1301.946,9665.360000000001,3443.728,478.206,2621.124,1217.689,1097.951,9771.599
"      Developing economies: Northern Africa",66800.353,21147.442,50236.643,79985.50500000001,46866.669,23751.817,41948.346,34961.265,60754.396,77354.893,92694.12,105084.694,47544,171275.172,236100.541,169055.227,77585.067,166551.434,86446.94100000001,86588.00500000001,59463.921,50387.918,73989.16499999999
"      Developing economies: Southern Africa",56240.194,58827.037,60944.856,54653.77,53345.345,62198.464,62124.392,31344.847,90180.052,130928.704,110034.571,190312.659,654797.8320000001,567309.28,950728.45,1096158.944,1327863.519,896094.345,1245733.148,1304567.832,1449313.99,1312138.029,968054.874
"      Developing economies: Western Africa",136.074,33.116,144.079,176.041,52.048,112.801,172.992,2126.028,417.776,630.043,4702.409,1903.639,11067.873,26535.735,11506.678,23130.742,32724.61,17864.109,11075.663,14654.58,16847.008,19008.3,32568.692
"    Developing economies: America",106561.77,143497.469,208015.977,172694.562,85971.082,161042.148,173558.017,316246.053,795642.8320000001,610562.882,957405.2020000001,853531.228,1554436.8,1231751.335,2422317.666,1808414.923,2043110.752,2135838.809,1725069.982,1465557.548,1582687.281,1266726.704,1529660.196
"      Developing economies: Caribbean",146.895,522.119,78.00100000000001,189.401,780.086,92.97,534.436,5052.675,713.2619999999999,10083.135,19822.82,59897.071,122708.003,76136.88400000001,33395.024,26899.938,119246.18,222993.55,94642.741,10296.272,5522.183,22059.985,24099.409
"      Developing economies: Central America",28234.355,96509.86500000001,86426.109,67742.431,2597.604,52659.857,53707.105,97698.93300000001,234229.965,54118.526,200680.79,106478.039,105180.169,129068.362,290015.805,177961.678,216113.344,232635.356,243186.158,215538.857,240750.833,316361.83,345390.122
"      Developing economies: South America",78180.52,46465.485,121511.867,104762.73,82593.39200000001,108289.321,119316.476,213494.445,560699.605,546361.221,736901.592,687156.118,1326548.628,1026546.089,2098906.837,1603553.307,1707751.228,1680209.903,1387241.083,1239722.419,1336414.265,928304.889,1160170.665
