"PRODUCT -   Primary products (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",15140744.824,17920583.22,19265201.644,14756009.576,17469292.412,33266915.866,28901124.61,32876625.88,49060920.638,70859959.20999999,93812338.846,120524715.392,144449268.684,210127817.888,177699781.903,256914678.487,355292850.113,392028578.364,412280153.654,393825953.112,286094015.72,268198011.764,338265610.399
"  Developing economies",9033277.700999999,12165198.056,13777881.355,10066791.993,11918541.219,25919019.103,21051259.737,24006659.933,35309732.318,52185566.042,72487842.718,90761228.22300001,108497021.192,163207919.079,128858115.801,187784267.704,258265705.328,275515083.235,291068168.351,280603273.303,196657390.395,180320058.069,229570716.118
"  Transition economies",346213.664,268839.933,455238.396,297910.452,355155.7,1000719.613,925662.671,1422165.774,2499661.574,3690705.809,5152898.368,8758890.228,10651489.543,15430387.558,10864895.924,19868896.226,37315431.869,44082265.638,44715320.468,44386553.66,29396359.359,25211400.958,34050210.555
"  Developed economies",5761253.459,5486545.231,5032081.893,4391307.131,5195595.493,6347177.15,6924202.202,7447800.173,11251526.746,14983687.359,16171597.76,21004596.941,25300757.949,31489511.251,37976770.178,49261514.557,59711712.916,72431229.491,76496664.83499999,68836126.149,60040265.966,62666552.737,74644683.726
"    Developing economies: Africa",539099.225,599186.642,1204646.326,475381.675,1158801.983,3037566.424,2241686.344,2627034.049,5278209.255,11014815.341,16304393.956,21082707.554,23377969.946,43641885.8,32416326.861,44661471.03,51394511.634,60944672.231,56894787.426,49850982.67,27023384.138,23388005.404,32401813.672
"      Developing economies: Eastern Africa",59866.981,83905.515,86605.795,51748.778,72109.16099999999,119626.628,92253.06600000001,140813.14,317695.203,234138.411,386863.66,406467.184,390742.948,514917.226,1179277.302,2589566.643,2804767.044,3096250.7,3894478.937,3692332.021,2498170.495,2233698.665,3432161.064
"      Developing economies: Middle Africa",175269.46,310082.842,838864.412,239483.091,669583.2120000001,2375261.08,1368720.103,1705842.472,3451753.456,7776595.064,11811179.632,16380006.258,17494535.079,31120996.158,18960086.386,25777790.459,32419338.16,41901389.801,39966731.009,37076847.934,18519282.119,16098307.721,20804158.93
"      Developing economies: Northern Africa",105708.995,69731.082,66611.18300000001,28533.787,135655.351,296235.71,565595.27,532145.7290000001,1023188.055,1855189.709,2794128.95,2642502.863,2742488.329,10129590.424,9963700.101,13508126.961,11474409,11036981.864,8389422.573000001,4302482.485,2769346.951,2181374.475,3212092.132
"      Developing economies: Southern Africa",91411.621,98152.473,97931.901,86510.10000000001,96111.25,44645.852,71941.42999999999,79127.726,165490.204,180003.532,307008.633,595623.781,1504814.197,740136.907,889124.804,1251405.345,2123957.777,1830892.248,1905430.205,1115264.819,1124934.15,1009862.441,1402940.195
"      Developing economies: Western Africa",106842.168,37314.73,114633.035,69105.91899999999,185343.009,201797.154,143176.475,169104.982,320082.337,968888.625,1005213.081,1058107.468,1245389.393,1136245.085,1424138.268,1534581.622,2572039.653,3079157.618,2738724.702,3664055.411,2111650.423,1864762.102,3550461.351
"    Developing economies: America",783746.351,1413492.821,1761292.324,1316751.364,882731.345,2072038.517,2465208.889,2747119.189,4550562.02,6261171.813,8396371.157,9879500.318,14736701.398,21543827.906,22405605.417,36305287.695,48267252.023,49947436.308,57084059.588,52994295.054,45862708.963,41603945.703,54297284.277
"      Developing economies: Caribbean",3205.844,42.298,258.923,608.9109999999999,381.892,613.082,675.67,1893.514,4737.314,1478.322,3191.253,32719.133,22633.297,30719.845,68202.38800000001,60117.454,220901.514,122657.503,124389.115,145424.76,58943.948,150721.469,115146.198
"      Developing economies: Central America",3396.303,29911.668,12789.212,14631.738,2416.52,8149.106,7930.109,6621.883,29101.87,24958.367,154241.82,192993.344,184408.127,235557.509,258682.985,1032564.512,1818194.462,770687.646,977973.768,807227.686,836397.659,781149.522,1204003.238
"      Developing economies: South America",777144.204,1383538.855,1748244.189,1301510.715,879932.933,2063276.329,2456603.11,2738603.792,4516722.836,6234735.124,8238938.084,9653787.841,14529659.974,21277550.552,22078720.044,35212605.729,46228156.047,49054091.159,55981696.705,52041642.608,44967367.356,40672074.712,52978134.841
