"PRODUCT -   Resource-based manufactures: agro-based (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",10518317.817,10237944.688,11255381.548,10620755.092,10093658.037,11069051.364,10956650.479,13181513.67,16826330.132,20317922.871,21481046.379,26487955.5,34589599.982,39578139.773,37911726.127,49647026.549,64477019.313,64942030.485,67429689.936,66330653.543,62149886.125,66876812.531,81261520.566
"  Developing economies",8373838.856,7930084.269,8843853.472999999,7796597.608,6775501.998,7036408.92,6512443.27,7646523.428,9807909.084000001,11322327.791,11125686.105,13509523.719,17480373.08,21024408.671,19697239.321,23895320.7,31673427.378,32379450.58,31786792.367,31336397.559,29147516.216,30501056.246,36523989.338
"  Transition economies",196146.248,233641.937,224642.88,297988.576,491504.253,672657.522,908452.08,1247802.751,1315413.138,1505975.368,2066471.657,2505586.909,3631469.269,3593817.287,2791906.839,3254152.18,3842350.903,3294689.998,3757640.216,3997019.492,4005892.592,4608091.883,5631948.631
"  Developed economies",1948332.713,2074218.482,2186885.195,2526168.908,2826651.786,3359984.922,3535755.129,4287187.491,5703007.91,7489619.712,8288888.617,10472844.872,13477757.633,14959913.815,15422579.967,22497553.669,28961241.032,29267889.907,31885257.353,30997236.492,28996477.317,31767664.402,39105582.597
"    Developing economies: Africa",173037.193,218824.052,340156.913,197172.952,292608.837,289993.333,353430.668,372831.088,448568.069,516860.966,530457.306,693256.668,818978.387,942033.7510000001,809308.7780000001,1000338.601,1321631.189,1473101.496,1547690.833,2711570.352,1981104.062,1882963.444,2269194.393
"      Developing economies: Eastern Africa",907.2619999999999,5626.844,1426.933,1472.858,3780.888,11837.398,14773.643,23128.636,32106.552,36991.324,57854.933,62924.907,86447.87699999999,94848.67200000001,90459.8,147521.346,147801.571,206600.98,174787.047,314258.523,342701.13,246815.84,335344.223
"      Developing economies: Middle Africa",113572.914,149523.938,286301.159,143374.315,225248.117,231593.107,243641.833,259949.497,317384.135,356204.828,411072.824,542471.63,617578.535,665876.835,526289.527,598068.75,807866.938,726346.481,724989.471,1242204.675,833225.125,811498.698,879215.382
"      Developing economies: Northern Africa",1031.407,193.583,146.62,10.776,1246.443,3800.147,4697.392,10362.815,18941.943,11269.914,10071.075,9937.128000000001,17280.894,14361.684,9028.369000000001,12483.22,18576.578,17413.945,17045.286,24062.882,18619.77,21769.106,22188.74
"      Developing economies: Southern Africa",45260.076,47808.823,44583.062,50737.147,52749.139,13097.188,82078.857,71970.592,70788.41899999999,109251.014,45128.363,59560.72,63856.305,112312.307,112376.528,136380.874,204530.397,286531.365,336192.368,425017.758,373757.436,344532.602,354759.463
"      Developing economies: Western Africa",12265.534,15670.864,7699.139,1577.856,9584.25,29665.493,8238.942999999999,7419.548,9347.02,3143.886,6330.111,18362.283,33814.776,54634.253,71154.554,105884.411,142855.705,236208.725,294676.661,706026.514,412800.601,458347.198,677686.585
"    Developing economies: America",1094113.358,806254.505,768434.802,489918.579,347169.556,388599.476,627832.093,961317.627,1983857.288,2445132.477,2086726.635,2260091.096,3727571.029,4638378.94,4797918.998,4580403.787,6236651.21,6521039.405,6833433.781,6199536.167,5944223.989,5974917.704,6289142.561
"      Developing economies: Caribbean",195119.069,132170.229,78634.708,67325.018,49743.169,61400.064,80885.129,79308.333,80589.95600000001,93733.447,107319.817,179684.857,92104.887,149970.36,148822.281,254510.876,342231.257,294627.957,226855.155,197279.808,180553.443,147307.642,183873.37
"      Developing economies: Central America",60909.119,3566.677,4579.552,9243.906999999999,6173.86,14506.202,15163.232,15113.902,21194.152,43456.554,91458.764,42602.107,66061.868,67361.96799999999,61003.952,107743.466,161597.458,229641.523,352934.416,326013.532,347176.284,220379.036,305956.635
"      Developing economies: South America",838085.17,670517.5990000001,685220.542,413349.654,291252.527,312693.21,531783.732,866895.392,1882073.18,2307942.476,1887948.054,2037804.132,3569404.274,4421046.612,4588092.765,4218149.445,5732822.495,5996769.925,6253644.21,5676242.827,5416494.262,5607231.026,5799312.556
