"PRODUCT -   Resource-based manufactures: other (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",10412163.96,11870294.317,14259377.194,10331194.273,11725361.595,16222700.999,17330724.909,19655735.237,28964945.81,43501288.283,60192038.153,79763610.359,98576064.23800001,129347850.854,121898164.14,177732661.349,244632459.405,225606028.532,245742639.459,224609281.63,162593802.792,167563927.677,216495436.441
"  Developing economies",7001986.428,8053633.971,9571924.573999999,6162588.644,6804524.27,9273687.749,9490560.242000001,10627763,15699907.414,24081684.831,32440211.046,43741878.639,53788763.212,69668101.347,63407902.988,94362687.44499999,129075223.936,120098665.69,129660217.115,121330625.886,89340879.699,93028186.677,125556827.395
"  Transition economies",216444.703,220928.765,510214.251,371514.59,460848.659,463162.133,603969.726,724247.491,1386869.598,2320891.94,3037046.438,3117559.513,3396832.021,5658993.715,5051646.239,6523683.856,13617131.609,11288676.198,10156770.366,8299289.052,5355395.631,4700149.657,6946571.027
"  Developed economies",3193732.829,3595731.581,4177238.369,3797091.039,4459988.666,6485851.117,7236194.941,8303724.746,11878168.798,17098711.512,24714780.669,32904172.207,41390469.005,54020755.792,53438614.913,76846290.04799999,101940103.86,94218686.64399999,105925651.978,94979366.692,67897527.462,69835591.343,83992038.01899999
"    Developing economies: Africa",341527.752,369288.606,379466.499,323116.328,360003.895,595984.986,794074.451,923669.455,908250.813,1728455.106,2384894.824,3774754.057,3217884.74,6108458.818,6469428.722,8899816.890000001,12466508.269,11004857.8,13365285.935,12203254.763,7668580.994,7715568.29,12241037.047
"      Developing economies: Eastern Africa",3585.705,1132.075,2747.986,4928.767,15241.632,16958.851,18315.307,24685.514,28553.634,82950.636,144289.953,274890.943,311788.979,420607.792,456824.427,781266.898,936643.282,750683.5,488481.053,1280050.364,436352.743,477229.823,642411.368
"      Developing economies: Middle Africa",10817.385,24947.941,29717.52,22643.612,24368.384,31922.499,56782.983,47880.427,79340.586,307621.412,438174.029,897143.874,949231.014,2143368.763,1181688.621,1340896.489,1320219.686,863906.732,948232.2610000001,1160670.681,1280226.801,1313772.345,2582407.937
"      Developing economies: Northern Africa",39283.549,38083.411,27953.388,23067.361,23327.914,373184.931,451531.204,591093.995,465553.501,799528.466,1063687.019,1498914.075,100348.267,157766.679,613499.307,273758.189,476635.786,386329.611,895980.992,1115566.409,519407.968,457566.083,747436.564
"      Developing economies: Southern Africa",286928.692,304124.275,317470.86,269777.356,286698.852,143912.62,197522.315,228441.917,298518.976,463370.7,657593.8760000001,1022207.351,1659761.663,2999754.692,3765838.769,5653486.792,8845113.323000001,7312384.746,8531745.192,6055682.425,4571154.519,4169399.133,5965821.876
"      Developing economies: Western Africa",912.4210000000001,1000.904,1576.745,2699.232,10367.113,30006.085,69922.64200000001,31567.602,36284.116,74983.89200000001,81149.947,81597.814,196754.817,386960.892,451577.598,850408.522,887896.192,1691553.211,2500846.437,2591284.884,861438.963,1297600.906,2302959.302
"    Developing economies: America",400012.008,366641.92,446992.05,468007.937,541053.167,787653.049,1146752.716,1278124.187,2095702.802,3789996.792,6406775.09,9507852.731000001,13247874.604,14544121.314,18720427.028,28310683.393,38407391.137,34730492.829,35282573.692,30341993.645,21971776.164,25152205.698,32795921.284
"      Developing economies: Caribbean",4013.691,1432.221,8776.214,9238.898999999999,13894.574,26317.648,50914.975,57318.907,125709.119,234958.772,214674.373,600605.917,661719.204,481009.937,339209.339,534669.958,676044.924,441932.686,358616.771,369808.057,281903.001,223797.934,242764.795
"      Developing economies: Central America",3951.082,13990.581,5331.71,7209.264,2263.572,28328.648,41450.997,59854.43,150393.465,95196.08500000001,336841.761,646614.269,777504.567,1022604.15,1023424.629,1791557.491,2443626.043,2711725.8,2686043.14,2023671.202,1592794.188,1866637.303,2233634.548
"      Developing economies: South America",392047.235,351219.118,432884.126,451559.774,524895.021,733006.753,1054386.744,1160950.85,1819600.218,3459841.935,5855258.956,8260632.545,11808650.833,13040507.227,17357793.06,25984455.944,35287720.17,31576834.343,32237913.781,27948514.386,20097078.975,23061770.461,30319521.941
