"PRODUCT -   Unclassified products (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",3192885.869,3030749.154,3181729.05,2850322.607,2754833.254,6378722.78,6962728.644,8473117.686000001,9897502.422,14387667.928,23022820.168,24697430.698,20100548.383,27465826.369,25775397.719,34205941.92,53377610.152,81691509.132,120099463.549,103201312.781,103111375.025,94083071.99699999,80308773.778
"  Developing economies",1045968.649,1037790.762,1093828.693,1029747.414,897939.958,783954.669,910266.829,1138006.994,1165816.033,1732816.152,6523600.266,10003226.157,3089940.117,9957541.942,4018846.941,9361773.001,27408379.981,47759619.199,73893639.93099999,50068693.719,42214665.531,40438299.008,35225807.265
"  Transition economies",93370.47900000001,106177.828,524154.594,361934.537,227036.126,1545999.991,1819144.23,1583080.988,1375080.704,1770708.336,1988952.241,2171163.01,219856.805,868012.659,767847.2070000001,524328.24,603097.237,433103.941,564414.656,247127.254,228978.615,894756.774,428527.841
"  Developed economies",2053546.741,1886780.564,1563745.763,1458640.656,1629857.17,4048768.12,4233317.585,5752029.704,7356605.685,10884143.44,14510267.661,12523041.531,16790751.461,16640271.768,20988703.571,24319840.679,25366132.934,33498785.992,45641408.962,52885491.808,60667730.879,52750016.215,44654438.672
"    Developing economies: Africa",140228.785,146747.958,156038.442,132958.646,133087.084,19632.563,5259.125,15811.651,15478.417,28315.33,5301.093,2646.054,4127.136,50187.241,82153.32399999999,148070.112,294993.107,45825.785,313585.525,142959.492,84683.93300000001,41172.404,45458.943
"      Developing economies: Eastern Africa",140.952,161.579,94.26900000000001,34.286,232.794,11332.698,5048.436,556.164,169.577,13234.44,1932.73,776.504,1764.241,1254.005,1793.301,193.569,105.6,16417.919,5865.837,825.133,12801.935,8580.619000000001,621.0700000000001
"      Developing economies: Middle Africa",53.951,20.691,"..",0.287,"..",8190.809,"..",11559.785,12016.899,9988.388000000001,3.327,453.444,128.705,39.303,28.022,47.992,44.387,634.351,379.168,14.872,668.586,20040.028,36273.294
"      Developing economies: Northern Africa",2.872,1.205,26.399,2.986,2.444,4.017,14.227,57.293,59,319.141,300.934,1003.218,33.287,1287.872,928.76,1648.913,612.313,1038.184,1035.419,1188.994,285.174,771.721,524.4980000000001
"      Developing economies: Southern Africa",140010.495,146503.063,155904.961,132916.51,132848.406,60.413,167.392,3397.433,2720.916,4730.663,2997.157,397.596,802.672,47503.516,264.811,809.27,1455.159,1396.48,2423.203,2191.163,2146.518,1710.644,2712.145
"      Developing economies: Western Africa",20.515,61.42,12.813,4.577,3.44,44.626,29.07,240.976,512.025,42.698,66.94499999999999,15.292,1398.231,102.545,79138.42999999999,145370.368,292775.648,26338.851,303881.898,138739.33,68781.72,10069.392,5327.936
"    Developing economies: America",285.407,305.06,3745.311,486.737,413.508,1513.471,4298.933,18412.556,2955.231,4556.77,6400.873,8492.455,208661.031,19347.969,149182.259,23891.392,29942.71,207979.929,52281.698,46235.193,55708.311,35856.893,31584.652
"      Developing economies: Caribbean",2.079,1.807,28.041,23.213,5.002,105.564,97.58,9.909000000000001,1.378,46.119,41.409,39.546,28.571,98.78700000000001,37,288.279,40.01,31.145,48.187,13.489,54.319,131.904,372.201
"      Developing economies: Central America",44,32.705,86.345,58.63,72.619,79.715,205.162,1719.177,238.432,682.4450000000001,202.78,552.742,148871.929,2582.019,128490.875,2752.587,2018.849,19547.01,13004.405,5444.957,30318.393,15702.012,11519.428
"      Developing economies: South America",239.328,270.548,3630.925,404.894,335.887,1328.192,3996.191,16683.47,2715.421,3828.206,6156.684,7900.167,59760.531,16667.163,20654.384,20850.526,27883.851,188401.774,39229.106,40776.747,25335.599,20022.977,19693.023
"    Developing economies: Asia",905452.4570000001,890731.172,934044.217,896260.031,764377.17,762733.787,900687.311,1103625.628,1147318.389,1699866.355,6511894.471,9992073.65,2877096.932,9887813.511,3786845.124,9189502.867000001,27082236.783,47504368.72,73520969.01100001,49780493.411,42026860.376,40360935.63,35147847.293
