"PRODUCT -   High technology manufactures: electronic and electrical (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",28480539.399,35204716.875,43469801.433,49767046.568,61010484.382,87934804.535,94727875.895,127092854.232,180303326.441,264259487.117,337087415.362,426304448.678,501723209.9,571858560.712,530100139.69,707898564.812,805412439.169,853850828.078,902797155.0470001,947988413.244,941870491.896,819367786.772,1017107518.625
"  Developing economies",13920564.878,17136696.752,20625178.547,22079903.752,26158987.693,39339691.709,41957866.702,56508574.184,78038194.75399999,114275793.506,146993281.712,193829243.805,228524769.787,267427019.404,259790311.983,333884385.903,383129884.555,426556292.177,468214255.947,492048196.938,502024788.542,395276665.832,532120551.377
"  Transition economies",54806.796,85674.31600000001,78263.947,67929.086,101765.451,130803.403,278390.054,567068.418,1018969.659,1576000.708,2393270.462,4028449.302,5776616.322,8276254.263,5829255.991,10268835.613,13128090.206,14077837.014,14142344.802,13590347.653,10653787.679,11134526.641,14937549.923
"  Developed economies",14505167.725,17982345.807,22766358.939,27619213.73,34749731.238,48464309.423,52491619.139,70017211.63,101246162.028,148407692.903,187700863.188,228446755.571,267421823.791,296155287.045,264480571.716,363745343.296,409154464.408,413216698.887,420440554.298,442349868.653,429191915.675,412956594.299,470049417.325
"    Developing economies: Africa",420113.236,436720.624,469122.097,546626.928,568825.927,496165.899,662653.215,838643.9250000001,1459942.002,2201027.504,3222962.69,4768861.98,6596682.625,9691355.039000001,8710847.891000001,10937336.611,12197368.444,12458335.656,13717676.621,16815898.256,16857669.629,14862350.013,15725659.693
"      Developing economies: Eastern Africa",17042.97,29514.305,29504.733,50726.718,47867.206,53091.873,79569.205,83309.41,163563.976,259926.212,298189.493,414637.906,770224.861,1554323.662,1490421.129,1739289.128,1426590.972,1670589.103,1644224.841,2850374.533,3222707.826,2742968.394,2883673.72
"      Developing economies: Middle Africa",4350.87,7581.947,6913.887,9754.566999999999,5868.978,9950.895,15412.789,17556.877,80000.071,68438.74400000001,112888.93,212379.845,326470.65,580845.554,502388.984,551551.874,673014.826,772317.025,748730.123,1010717.805,876293.4570000001,719621.007,605085.561
"      Developing economies: Northern Africa",83241.65300000001,76265.825,87471.561,144559.448,154408.48,157746.549,203126.257,281020.404,423736.734,748774.0770000001,1123476.717,1516977.419,2169192.443,2653967.056,2874321.849,3319752.232,3448648.222,3899914.078,4177997.93,5243814.512,5364211.695,4961043.903,4965443.022
"      Developing economies: Southern Africa",262822.334,267672.607,277249.882,248648.882,255729.062,183600.216,212405.785,322957.395,541518.211,867199.319,1296044.232,1844005.842,2369355.613,2944024.996,2402475.111,3359770.036,4335282.189,3824678.458,4916408.778,4832928.987,4929363.472,4154361.965,4882397.915
"      Developing economies: Western Africa",52655.409,55685.94,67982.034,92937.313,104952.201,91776.366,152139.179,133799.839,251123.01,256689.152,392363.318,780860.968,961439.058,1958193.771,1441240.818,1966973.341,2313832.235,2290836.992,2230314.949,2878062.419,2465093.179,2284354.744,2389059.475
"    Developing economies: America",288714.886,563029.416,854617.958,968785.471,1183223.932,1764067.353,2436574.146,3514932.757,6939117.633,10970622.179,13228800.609,20241514.599,21510071.758,32760659.916,32073814.286,47484923.17,56054435.79,59134625.124,65166373.228,65931593.515,62642428.575,59355150.786,62716983.595
"      Developing economies: Caribbean",5127.277,4562.73,21546.008,21749.86,33926.124,51029.672,105095.367,145702.313,117896.885,143455.736,128687.761,519463.783,373857.9,518414.582,396664.188,536797.755,645642.596,661334.814,750802.005,741876.372,908132.004,809832.084,846349.385
"      Developing economies: Central America",114074.283,160581.492,310122.963,380361.649,528028.818,731953.432,1301908.102,2407163.719,5168945.991,7939301.289,8935939.049000001,12593505.641,12404132.802,17291151.991,18553434.614,26901333.468,29652510.921,31535840.805,33529673.781,35486831.817,35832155.158,35951510.875,36115592.794
"      Developing economies: South America",169513.326,397885.194,522948.987,566673.9620000001,621268.99,981084.249,1029570.677,962066.725,1652274.757,2887865.154,4164173.799,7128545.175,8732081.056,14951093.343,13123715.484,20046791.947,25756282.273,26937449.505,30885897.442,29702885.326,25902141.413,22593807.827,25755041.416
