"PRODUCT -   High technology manufactures: other (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",4519964.526,5061553.348,5913794.871,6544325.138,7350406.637,8723904.210000001,8878406.673,9506039.34,12639255.577,17023539.18,22819453.125,27771705.171,34855497.06,41200083.95,35706705.734,45416019.353,53808458.316,56321124.099,59549227.248,59784686.822,58540890.045,49270056.958,61190432.848
"  Developing economies",2075582.603,2230470.538,2451341.634,2676615.06,3081945.144,3712282.606,3855829.931,4110383.08,5868253.02,8891351.835000001,13805337.843,17549011.953,22751965.893,26357411.126,22480225.234,27970155.261,32334235.097,35886114.105,38946976.492,37722268.612,35993242.836,25672100.755,35883215.862
"  Transition economies",22266.642,29036.921,35899.912,31528.115,27548.943,45877.962,60002.932,54019.608,80805.31200000001,121322.622,139545.229,226094.09,390247.991,577544.799,560706.125,998290.593,1130650.632,1120268.75,1211691.072,1079290.11,946113.802,1023101.068,1324346.601
"  Developed economies",2422115.281,2802045.889,3426553.325,3836181.963,4240912.55,4965743.642,4962573.81,5341636.652,6690197.245,8010864.723,8874570.052999999,9996599.128000001,11713283.176,14265128.025,12665774.375,16447573.499,20343572.587,19314741.244,19390559.684,20983128.1,21601533.407,22574855.135,23982870.385
"    Developing economies: Africa",86028.685,79901.68399999999,88486.10400000001,136373.616,115302.608,111608.164,116857.988,138573.453,173395.396,227996.076,371685.498,440442.195,564196.944,713312.867,796269.67,906721.139,1272037.6,1524102.354,1396755.81,1565764.067,1510584.366,1575760.325,1795858.198
"      Developing economies: Eastern Africa",11707.554,19144.717,12608.606,45357.141,15904.138,20851.121,18552.406,23886.248,39479.235,36168.226,59282.975,68995.936,95001.22900000001,108652.269,104863.531,142439.426,161264.993,345580.39,264146.233,326754.567,314646.62,335083.994,390751.155
"      Developing economies: Middle Africa",2231.389,2745.486,3689.901,7694.657,2537.158,4579.112,5997.208,7582.763,10973.323,14596.793,23682.12,31953.197,63103.861,83185.618,63281.842,75537.889,96608.735,122353.357,132652.078,151507.706,153581.723,115608.909,137496.717
"      Developing economies: Northern Africa",13712.25,15249.814,15942.431,23539.718,32329.394,31370.103,32516.077,52431.459,52897.817,85378.14599999999,162819.804,129574.599,169282.811,215722.775,284731.069,291195.248,451819.71,408086.382,414262.588,510582.465,470151.328,493123.909,599687.655
"      Developing economies: Southern Africa",28940.361,29010.477,29939.442,29029.498,26740.939,19875.04,28091.803,25175.198,29770.642,46059.892,58859.899,97635.751,93024.73299999999,132228.103,157162.63,203955.739,296368.887,307265.946,231482.012,186173.617,215965.926,181227.521,202849.526
"      Developing economies: Western Africa",29437.131,13751.19,26305.724,30752.602,37790.979,34932.788,31700.494,29497.785,40274.379,45793.019,67040.7,112282.712,143784.31,173524.102,186230.598,193592.837,265975.275,340816.279,354212.899,390745.712,356238.769,450715.992,465073.145
"    Developing economies: America",125173.842,126574.352,144987.315,199360.559,217006.856,268251.07,331100.313,403708.874,481524.578,691320.113,1038543.221,1628841.556,2570230.466,3401794.841,2502579.57,3575314.961,3879025.648,4147683.797,4736524.713000001,4186577.012,4422270.612,4478168.545,4311719.021
"      Developing economies: Caribbean",32456.059,18190.307,17963.363,18036.055,16390.299,16836.338,24563.585,19821.6,21773.744,28771.049,33091.652,38362.202,46040.624,64052.272,50224.121,57768.217,80800.38800000001,70631.022,90820.951,82054.802,90316.76700000001,90386.985,85952.41499999999
"      Developing economies: Central America",28229.852,33719.424,42946.472,86286.435,94958.402,111276.428,160846.405,214119.543,209599.407,237193.257,381698.873,839227.08,1463809.797,1712347.824,1299516.397,2066261.084,2281618.356,2084649.401,2921814.809,2417155.003,2790383.668,2934853.891,2619854.454
"      Developing economies: South America",64487.931,74664.621,84077.48,95038.069,105658.155,140138.304,145690.323,169767.731,250151.427,425355.807,623752.696,751252.274,1060380.045,1625394.745,1152839.052,1451285.66,1516606.904,1992403.374,1723888.953,1687367.207,1541570.177,1452927.669,1605912.152
