"PRODUCT -   Low technology manufactures: other products (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",45295795.044,49634885.974,57036365.511,59779712.092,67771928.492,80030679.56999999,81127688.51000001,97130625.873,116856292.011,144300049.537,175571629.52,212150640.312,275531120.305,321479169.038,245743926.649,297919359.712,332136794.207,343986300.519,351243470.178,386777065.418,381676857.884,366392534.955,392774551.883
"  Developing economies",17172092.926,18059759.006,19921577.396,18779870.668,20202742.238,23947368.663,22685116.033,24166158.392,26868597.054,33946437.457,42489225.916,54556329.061,78218646.76000001,104930723.572,74629587.877,96740636.01000001,117157612.349,126457292.396,131720966.313,149349818.875,143947822.884,131511325.404,144553540.13
"  Transition economies",126921.604,151111.944,184315.467,184809.066,164280.537,231776.866,357918.17,519399.753,789499.97,1248094.992,1952910.631,3222667.098,4858551.743,8139969.614,5163805.061,7638343.451,9298714.783,10272824.613,11098774.492,11251459.489,7873340.832,7863497.192,9782263.903000001
"  Developed economies",27996780.514,31424015.024,36930472.648,40815032.358,47404905.717,55851534.041,58084654.307,72445067.728,89198194.987,109105517.088,131129492.973,154371644.153,192453921.802,208408475.852,165950533.711,193540380.251,205680467.075,207256183.51,208423729.373,226175787.054,229855694.168,227017712.359,238438747.85
"    Developing economies: Africa",515458.161,504067.839,574777.635,633016.753,662428.142,661677.696,693687.284,766138.252,1031011.161,1492003.409,2329639.339,3086157.816,4554952.599,6966262.245,6413845.694,7789397.882,9087230.454,12072206.911,12916210.919,16309802.379,15501443.605,12883593.045,14063058.334
"      Developing economies: Eastern Africa",72735.39999999999,69244.614,70234.126,83822.49400000001,85449.249,94091.106,108092.971,110023.418,148696.394,220964.879,272792.882,376722.458,666708.057,940238.487,987857.826,1102865.605,1240777.147,1765903.888,2080678.588,3133003.56,3043199.712,2818076.221,3221538.821
"      Developing economies: Middle Africa",13771.251,16467.244,15576.236,23175.869,17276.688,22317.779,29249.186,35342.707,56557.17,78431.49000000001,134329.222,216471.699,393306.19,836561.019,897721.147,790710.216,1236334.502,1699167.215,1686554.527,2628789.23,2194990.288,1222414.342,1358768.392
"      Developing economies: Northern Africa",127429.862,135276.849,157334.203,212825.947,236253.037,235398.112,210642.316,264646.501,324884.184,474980.905,734144.856,854981.421,1166053.713,1849118.045,1810674.361,2192529.876,2286550.707,3070827.196,3246572.937,3908188.846,4112618.185,3664196.293,3830137.817
"      Developing economies: Southern Africa",211456.958,210707.108,228906.081,200895.64,191655.797,180500.415,167851.864,203490.478,291759.78,490312.412,783310.811,1084101.734,1339935.068,1488101.734,1356813.047,1779472.248,2265830.016,2225087.973,2304405.813,2290164,2347446.767,1929315.227,2044873.011
"      Developing economies: Western Africa",90064.69,72372.02400000001,102726.989,112296.803,131793.371,129370.284,177850.947,152635.148,209113.633,227313.723,405061.568,553880.504,988949.571,1852242.96,1360779.313,1923819.937,2057738.082,3311220.639,3597999.054,4349656.743,3803188.653,3249590.962,3607740.293
"    Developing economies: America",596804.804,899147.336,1129185.002,1234946.217,1188450.48,1643517.271,1982492.459,1992801.04,2420158.616,3527973.044,4678711.492,7164300.744,9727221.589,14148255.934,10721756.87,15702875.038,18450957.473,20671100.737,21609227.103,23778150.43,23150793.393,19731540.212,22591439.563
"      Developing economies: Caribbean",31444.747,25551.808,57555.926,54661.309,86897.484,84854.04700000001,112142.471,100251.193,119984.593,184385.87,253482.603,445571.232,471291.253,703831.76,485614.867,636679.9889999999,778677.049,789173.218,868866.543,933994.476,1230378.822,955535.123,1006927.81
"      Developing economies: Central America",166074.001,211084.201,308032.478,365217.49,438625.284,632449.293,903125.4889999999,1117515.678,1277027.824,1798088.743,2520600.52,3746674.547,4900079.49,6133336.063,4722263.517,5396248.63,6165958.112,7148968.191,7480540.695,8485412.232000001,9166920.436000001,8747439.637,9824757.958000001
"      Developing economies: South America",399286.056,662511.3270000001,763596.598,815067.418,662927.7120000001,926213.931,967224.499,775034.169,1023146.199,1545498.431,1904628.369,2972054.965,4355850.846,7311088.111,5513878.486,9669946.419,11506322.312,12732959.328,13259819.865,14358743.722,12753494.135,10028565.452,11759753.795
