"PRODUCT -   Low technology manufactures: textile, garment and footwear (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",75438346.15899999,81121919.63600001,87057805.037,82919545.133,89158904.73199999,104897813.74,107323606.006,116901850.088,137620855.056,161588682.202,198673148.101,222349448.755,255350775.051,279112055.178,254426396.556,299399459.743,335198393.19,330772106.388,344011047.719,353413545.232,333611790.429,307457069.777,319684667.371
"  Developing economies",31700581.623,33424023.538,36135693.034,32967819.066,34094533.457,40216076.406,40167047.892,42996945.183,49092054.321,55674787.487,63349825.292,70865771.07799999,78775131.87199999,82025366.294,71682638.942,87223640.14200001,101248459.297,104815276.138,112437074.188,118477941.562,116407121.044,104193914.921,112870595.857
"  Transition economies",600721.173,787753.82,1027903.505,1111356.666,1081284.956,1497495.082,1631421.096,2074136.088,3628351.203,5103690.418,7471951.427,7542205.377,11730642.128,12720261.623,9241752.525,14102012.08,15379424.295,16709883.415,20202612.135,19878980.096,12991625.71,13216658.203,15048380.416
"  Developed economies",43137043.363,46910142.278,49894208.498,48840369.401,53983086.319,63184242.252,65525137.018,71830768.817,84900449.53200001,100810204.297,127851371.382,143941472.3,164845001.051,184366427.261,173502005.089,198073807.521,218570509.598,209246946.835,211371361.396,215056623.574,204213043.675,190046496.653,191765691.098
"    Developing economies: Africa",716881.213,728451.169,829646.644,921564.398,947218.722,969653.299,1062885.687,1176043.856,1891889.707,2613595.697,3614181.486,4474338.684,5474438.416,6153091.585,6232252.825,7569034.023,8813970.477,10888293.951,11716038.2,13853775.332,13346288.823,12179578.518,13216723.919
"      Developing economies: Eastern Africa",92064.424,104361.2,133966.723,153612.221,164583.014,226882.709,248013.241,264231.025,401091.77,546835.191,532940.322,660232.368,833416.545,918439.9129999999,814997.809,1062743.351,1260994.517,1576208.852,1694284.882,2410411.792,2709353.169,2815331.192,2686187.045
"      Developing economies: Middle Africa",35429.517,49847.392,43471.282,75355.87,26022.117,35484.97,42424.737,61890.49,88395.166,97755.898,152575.065,176881.363,224045.782,401124.138,348579.262,443471.137,505644.851,690344.4250000001,826788.125,1267040.295,1091378.703,767682.222,829409.7389999999
"      Developing economies: Northern Africa",116646.778,130438.221,177179.073,223785.362,248755.726,244226.498,217252.001,241620.595,349997.297,506682.842,705501.6629999999,974000.052,1400993.289,1791927.887,2109825.442,2399132.675,2842579.243,3853133.471,4050499.43,4225847.726,4406013.653,3423667.433,3579866.383
"      Developing economies: Southern Africa",342346.464,342101.7,367084.033,329328.193,315756.247,268195.24,281647.464,333538.678,575125.589,978825.0060000001,1449388.75,1814350.742,1734271.024,1562160.47,1617460.161,2162918.859,2482392.666,2468426.965,2537597.941,2426302.307,2356836.897,2080996.65,2166821.703
"      Developing economies: Western Africa",130394.03,101702.656,107945.533,139482.752,192101.618,194863.882,273548.244,274763.068,477279.885,483496.76,773775.686,848874.159,1281711.776,1479439.177,1341390.151,1500768.001,1722359.2,2300180.238,2606867.822,3524173.212,2782706.401,3091901.021,3954439.049
"    Developing economies: America",620554.855,853913.3590000001,1155502.281,1233301.723,1135148.291,1509115.158,1686254.097,1789941.388,2238058.105,3130152.169,4415922.434,5711817.603,7537043.073,9131811.52,8021531.866,11377506.739,15337089.311,16821918.582,17809663.345,18516966.602,17900967.915,15607217.484,17248875.352
"      Developing economies: Caribbean",70309.17200000001,58667.181,120365.044,128148.961,140877.354,176151.296,162276.063,165212.48,214723.362,240223.941,276207.78,368886.438,401831.216,507647.065,388413.674,503897.381,619242.107,641581.453,701233.688,689861.262,773968.073,715536.248,710091.16
"      Developing economies: Central America",120262.429,118230.041,198376.387,258433.317,282723.992,403924.673,437377.607,637086.872,734592.793,1043339.199,1860084.81,2042260.44,2529332.082,2408485.729,2094940.775,3132635.456,3982620.056,4713739.341,5174454.054,5440269.053,6122435.635,5877254.485,6145261.763
"      Developing economies: South America",429983.254,677016.137,836760.85,846719.445,711546.945,929039.189,1086600.427,987642.036,1288741.95,1846589.029,2279629.844,3300670.725,4605879.775,6215678.726,5538177.417,7740973.902,10735227.148,11466597.788,11933975.603,12386836.287,11004564.207,9014426.751,10393522.429
