"PRODUCT -   Medium technology manufactures: automotive (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",1587239.67,1690750.922,2055252.708,2064395.626,2697664.269,4335620.263,4360646.7,5205631.433,6931460.651,9639717.165999999,13390384.067,18061844.305,25888443.578,32785695.998,24349534.209,33187221.906,42381199.86,47535871.068,50547277.489,53977847.922,53891154.345,52166519.154,59850917.72
"  Developing economies",853955.35,851350.047,998326.848,812970.38,992543.88,2044616.235,1827728.09,1769890.932,2327049.674,3172131.938,4988013.793,7180402.663,10487428.046,14748874.402,11352437.493,15625399.82,20851703.175,23387145.879,25385971.478,27216840.732,27195126.369,24184569.761,27906029.778
"  Transition economies",2912.03,2610.719,5151.34,5892.631,6018.176,15816.351,23534.593,41866.195,67607.663,150018.405,376127.586,886650.2,2612408.097,2925462.394,881012.667,1617721.303,3096753.132,4073620.67,3846028.16,3261556.947,1815714.709,1826684.466,2407492.129
"  Developed economies",730372.29,836790.156,1051774.52,1245532.615,1699102.213,2275187.677,2509384.017,3393874.306,4536803.314,6317566.823,8026242.688,9994791.442,12788607.435,15111359.202,12116084.049,15944100.783,18432743.553,20075104.519,21315277.851,23499450.243,24880313.267,26155264.927,29537395.813
"    Developing economies: Africa",97589.853,83859.78200000001,106135.964,121429.529,114085.395,137478.442,202190.059,238027.406,475542.908,614440.567,1109801.727,1435456.945,2767876.262,4078133.203,3302209.68,4010591.802,4323996.867,5680736.877,5902096.096,6234773.439,5545385.74,4116412.451,4372649.406
"      Developing economies: Eastern Africa",32645.896,25161.317,28754.741,23686.897,22256.199,26641.834,25219.48,23340.513,36726.51,71856.015,101846.818,175116,246533.358,406878.533,381861.707,475859.435,691424.155,911219.819,971775.116,1108835.933,1209126.815,1082223.902,1026421.221
"      Developing economies: Middle Africa",4031.153,4478.27,2653.144,5578.624,5838.88,5995.604,5901.497,7923.809,23851.048,45194.748,79778.712,129698.136,258270.444,581704.9129999999,481446.221,361761.488,464970.596,648877.119,742417.365,990424.0600000001,489088.914,361097.687,452335.32
"      Developing economies: Northern Africa",13312.96,14809.501,27271.257,35254.598,28043.049,35920.284,50088.518,79484.49000000001,126025.676,178149.849,398835.383,502728.985,780177.823,1407586.4,1401390.9,1417963.471,1468836.696,1980714.017,1991796.909,1910716.839,1696512.175,1224010.005,1071313.471
"      Developing economies: Southern Africa",16457.747,16465.903,17783.225,15639.936,15188.652,13779.291,12998.181,16801.257,29780.191,58553.375,104749.613,157974.198,408236.369,378451.934,166031.809,323845.966,370013.655,441961.87,370229.211,350039.754,312803.316,248391.554,338823.443
"      Developing economies: Western Africa",31142.097,22944.791,29673.597,41269.474,42758.615,55141.429,107982.383,110477.337,259159.483,260686.58,424591.201,469939.626,1074658.268,1303511.423,871479.043,1431161.442,1328751.765,1697964.052,1825877.495,1874756.853,1837854.52,1200689.303,1483755.951
"    Developing economies: America",76697.057,60264.601,86297.264,99468.587,111996.078,164383.182,231841.504,234805.424,296608.874,537009.7879999999,997100.5330000001,1705816.804,2593517.761,3650231.327,2340221.793,3875629.173,6128132.101,6715535.45,7265148.959,7053964.238,7005489.327,6311685.918,8150820.547
"      Developing economies: Caribbean",14990.428,5735.742,8850.31,8231.926,12095.995,13353.757,18791.985,19108.918,18616.051,24129.765,100707.132,175516.811,208297.526,314227.027,177924.29,194558.422,214251.769,247256.437,254205.004,268849.189,423905.523,404510.502,352572.375
"      Developing economies: Central America",5876.56,7937.103,12667.693,20734.375,24545.224,43184.654,84432.173,112551.698,153311.805,265992.011,435503.282,620038.053,791211.429,975897.308,626424.113,977344.3370000001,1241980.451,1545948.702,1825949.162,2319257.484,2697407.073,2630351.876,3502878.629
"      Developing economies: South America",55830.069,46591.756,64779.261,70502.28599999999,75354.859,107844.771,128617.346,103144.808,124681.018,246888.012,460890.119,910261.9399999999,1594008.806,2360106.992,1535873.39,2703726.414,4671899.881,4922330.311,5184994.793,4465857.565,3884176.731,3276823.54,4295369.543
