"PRODUCT -   Medium technology manufactures: engineering (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",29741278.883,33882906.22,38322014.74,40885479.858,45876903.305,58909258.452,62573680.752,78795008.927,99889019.002,134354183.415,166894199.834,203459238.641,242725449.706,282309873.857,240628545.462,314336704.151,359674300.383,380137121.179,401253743.974,415718758.003,411494047.508,385727265.223,435125710.589
"  Developing economies",14835015.536,16191291.667,17667827.815,17163083.846,17763616.414,22874607.416,23767105.884,28643409.083,36326667.233,49540599.758,64754525.182,81792433.382,100690843.327,124345140.478,109791821.59,143907039.473,172113326.224,187747007.803,205508818.581,208385515.025,207772290.582,180756991.746,211786233.834
"  Transition economies",107356.716,103424.196,150385.696,146220.521,109483.153,190346.104,363385.424,603463.002,932012.794,1359877.622,2446008.013,4065763.042,6441439.353,10306524.102,6886910.668,9859155.426999999,13466000.158,15304771.28,16179219.063,15880543.753,12038305.956,14245738.1,16649472.117
"  Developed economies",14798906.631,17588190.357,20503801.229,23576175.491,28003803.738,35844304.932,38443189.444,49548136.842,62630338.975,83453706.035,99693666.639,117601042.217,135593167.026,147658209.277,123949813.204,160570509.251,174094974.001,177085342.096,179565706.33,191452699.225,191683450.97,190724535.377,206690004.638
"    Developing economies: Africa",473767.738,506972.649,533757.171,725508.74,662765.542,639843.088,764461.52,909380.451,1266256.014,2034263.204,3021958.777,4546192.362,5852513.283,9117766.719000001,8736522.523,11056719.039,11928521.22,14482326.821,17256235.779,18208652.357,16941777.571,16514983.501,17784220.815
"      Developing economies: Eastern Africa",48925.744,51819.927,50349.95,84511.493,67453.89999999999,88300.292,90817.476,96851.851,142025.379,231878.132,339685.748,448167.707,785528.1530000001,1185856.487,1138493.515,1428395.987,1655222.273,2267182.288,2888955.787,3327440.249,3254251.208,3273254.029,3543525.969
"      Developing economies: Middle Africa",7597.267,16317.273,10611.756,55441.052,10368.098,12678.257,11767.74,19911.755,40489.124,68490.14599999999,130011.423,191348.101,405003.872,955012.752,1069075.746,1097724.337,1096315.543,1630410.864,1573270.233,2188186.761,1551933.349,1028430.563,1373648.42
"      Developing economies: Northern Africa",118541.375,139683.846,153428.643,249345.812,261330.412,233438.291,256070.703,387080.227,434719.28,747967.596,1090178.012,1421852.205,1881118.379,3049507.312,3111894.399,4012610.774,3608512.981,4437466.041,5239552.595,5161105.992,5344705.535,5755621.528,6013667.525
"      Developing economies: Southern Africa",194837.991,196555.799,207179.529,186383.754,185110.832,146560.176,166757.204,220778.046,328873.916,573913.542,853430.398,1208294.784,1609118.353,1850081.687,1502872.503,2055440.509,2738996.454,2854871.018,2914774.724,2781024.081,2749659.481,2441953.56,2702977.899
"      Developing economies: Western Africa",103865.361,102595.804,112187.293,149826.629,138502.3,158866.072,239048.397,184758.572,320148.315,412013.788,608653.196,1276529.565,1171744.526,2077308.481,1914186.36,2462547.432,2829473.969,3292396.61,4639682.44,4750895.274,4041227.998,4015723.821,4150401.002
"    Developing economies: America",471589.34,651086.147,1037759.582,1133243.293,1093545.344,1584118.964,1973267.67,2254497.602,2795205.361,4652894.221,6785793.557,10095207.057,12414592.329,16851209.065,14026600.583,21154133.39,26145793.772,28636678.117,31019307.463,31466721.88,31275027.65,28032866.541,29972868.285
"      Developing economies: Caribbean",21147.76,19884.775,55176.582,48017.802,60404.648,67836.982,100583.76,87280.129,144746.329,238188.18,429353.573,891602.334,858203.768,1048789.205,885900.303,1077950.649,1038963.056,1158546.856,1182490.819,1149239.112,1581477.701,1216919.456,1170364.045
"      Developing economies: Central America",101018.978,163346.771,343769.488,442618.062,491569.378,749526.0500000001,966377.481,1449814.983,1531614.493,2361987.355,3532396.761,4699931.605,5081033.547,6316682.6,5661614.627,8064670.365,9091195.414999999,10143870.746,11338882.538,11757821.754,13043733.965,13192496.557,14549998.166
"      Developing economies: South America",349422.602,467854.601,638813.512,642607.429,541571.318,766755.932,906306.429,717402.49,1118844.539,2052718.686,2824043.223,4503673.118,6475355.014,9485737.26,7479085.653,12011512.376,16015635.301,17334260.515,18497934.106,18559661.014,16649815.984,13623450.528,14252506.074
