"PRODUCT -   Medium technology manufactures: process (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",10193381.789,8778935.321000001,10332349.502,8818111.228,9210295.516000001,13455077.503,12006237.329,14121470.342,19012035.75,29810851.988,39991632.014,50498918.837,67820535.413,85147671.55500001,59391179.879,77618127.814,104807084.294,106802538.109,109926136.595,126116652.761,123505438.374,112607103.946,129249052.001
"  Developing economies",6858748.361,6003479.58,7002656.315,5355287.125,5552036.192,8085171.731,7054520.588000001,8184246.516,10785363.588,17757056.615,22905153.098,29147411.431,39223889.421,47513268.682,35310425.638,48256577.799,65338307.013,67017978.713,70563866.374,84172888.037,84236105.786,74838208.81,85298750.67900001
"  Transition economies",66682.965,68061.557,113943.718,126539.743,105157.07,138299.668,160619.09,206713.978,333887.624,612550.341,1220567.365,1766149.116,2991649.77,5094873.21,3784577.231,3924295.971,5276923.19,6642272.193,6688522.646,5633982.961,4234570.749,4317586.744,5324552.456
"  Developed economies",3267950.463,2707394.184,3215749.469,3336284.36,3553102.254,5231606.104,4791097.651,5730509.848,7892784.538,11441245.032,15865911.551,19585358.29,25604996.222,32539529.663,20296177.01,25437254.044,34191854.091,33142287.203,32673747.575,36309781.763,35034761.839,33451308.392,38625748.866
"    Developing economies: Africa",243945.714,264265.784,559723.719,546438.155,380701.704,365897.401,487278.212,466510.29,701468.503,1066362.773,1628206.613,2150425.004,2973909.761,4857775.865,4992972.544,4942629.671,5765444.449,6780507.865,7791366.706,9099395.495999999,9049155.006999999,8115438.376,9464757.505000001
"      Developing economies: Eastern Africa",25993.23,20712.547,31650.715,33830.619,36856.094,42918.587,73426.36900000001,69712.68300000001,107776.484,163213.68,236746.424,287532.75,436264.862,695903.9250000001,542741.598,697189.576,929902.407,1085768.844,1550641.856,1872041.158,2142571.328,1813670.513,2254640.2
"      Developing economies: Middle Africa",3905.664,6242.483,8041.798,9911.713,5307.315,10173.079,10216.453,12335.748,19893.802,27595.788,46261.231,78725.215,176503.68,354403.678,387543.576,337216.753,475666.53,688856.613,674756.5500000001,782690.103,639206.424,452333.272,525699.527
"      Developing economies: Northern Africa",79635.89999999999,86019.883,84105.56200000001,278650.15,130417.875,121233.298,124143.004,160751.979,262617.597,432250.559,704775.3000000001,921139.622,1260107.471,2270139.463,2604171.869,2260449.347,1914753.648,2191168.948,2322616.162,2680215.664,2684403.042,2959905.088,2900862.441
"      Developing economies: Southern Africa",79575.726,80289.785,84030.217,76234.72100000001,75315.938,57959.367,68648.527,88575.17600000001,122036.978,212158.825,281842.807,334939.891,495888.035,637710.561,504069.338,651270.086,980412.178,1024465.497,1026297.124,1245390.937,1517704.132,918181.655,1120696.318
"      Developing economies: Western Africa",54835.194,71001.086,351895.427,147810.952,132804.482,133613.07,210843.859,135134.704,189143.642,231143.921,358580.851,528087.526,605145.713,899618.238,954446.1629999999,996503.909,1464709.686,1790247.963,2217055.014,2519057.634,2065270.081,1971347.848,2662859.019
"    Developing economies: America",182190.492,211356.246,262701.786,322372.715,282186.29,464892.071,535919.669,622135.545,881106.48,1510333.859,2250784.452,2813702.517,4280431.879,5896412.002,4041311.808,6183175.813,9516124.26,10123193.715,11432386.203,13007542.862,12887638.229,10707695.368,11679972.637
"      Developing economies: Caribbean",19687.35,19017.216,33577.193,44031.546,55549.639,55962.002,99658.26300000001,76330.63400000001,70663.92999999999,114850.861,146998.019,259690.154,264248.717,386015.027,236749.258,385732.649,421018.891,418727.007,445529.983,505276.273,527183.659,484962.187,498755.491
"      Developing economies: Central America",34812.488,57857.294,78374.768,112262.065,80569.198,197245.812,196426.044,267778.378,332250.153,531581.412,1004705.78,925412.46,1215029.286,1457489.738,1110871.14,1615036.801,2038831.711,2375445.225,2504097.258,3228483.119,3697346.588,3396169.824,3651845.318
"      Developing economies: South America",127690.654,134481.736,150749.825,166079.104,146067.453,211684.257,239835.362,278026.533,478192.397,863901.586,1099080.653,1628599.903,2801153.876,4052907.237,2693691.41,4182406.363,7056273.658,7329021.483,8482758.961999999,9273783.470000001,8663107.982000001,6826563.357,7529371.828
