"PRODUCT -   Primary products (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",17296466.58,18202697.208,20394019.98,17966088.69,18236518.496,22395627.057,21665288.096,23663951.419,27995585.624,32984112.065,38777315.763,47581401.029,52313868.209,57981217.757,42691295.542,53233861.52,67145362.16400001,61987779.376,63293539.838,65262411.283,62109800.585,58990421.159,67335091.802
"  Developing economies",7164643.591,7450141.255,9344514.695,8224292.905,8534592.724,10836530.646,10490885.88,12543270.977,14842457.401,17207922.084,20627352.083,25734492.931,29453569.334,31251096.323,23456632.213,28644633.722,37480474.024,34815167.998,36475582.918,37228513.162,35521636.72,33334813.16,39638390.846
"  Transition economies",363776.961,474668.005,438184.393,434631.674,280133.153,250315.701,270750.536,474511.973,565433.107,578115.179,707291.068,857273.21,1001727.909,1387013.407,1341438.383,1588119.008,1943335.909,1903924.755,2066088.356,2106975.85,1973096.163,1849541.58,2176575.065
"  Developed economies",9768046.028000001,10277887.948,10611320.892,9307164.111,9421792.619000001,11308780.71,10903651.68,10646168.469,12587695.116,15198074.802,17442672.612,20989634.888,21858570.966,25343108.027,17893224.946,23001108.79,27721552.231,25268686.623,24751868.564,25926922.271,24615067.702,23806066.419,25520125.891
"    Developing economies: Africa",351269.583,293167.901,294108.055,350920.283,393562.634,442065.925,367256.224,382800.286,568307.147,557291.341,663961.818,895419.861,1117029.151,1471788.359,1229545.415,1549156.281,2390269.175,2665970.513,2665705.821,2525653.759,2528785.367,2333217.503,2856661.897
"      Developing economies: Eastern Africa",16105.324,18884.686,20603.887,17320.127,24214.803,51558.631,21288.375,23226.858,49193.886,31788.525,35049.406,49513.268,65655.397,73228.735,79799.091,95303.579,156232.137,169800.04,213135.109,291607.543,273846.998,307252.419,365780.075
"      Developing economies: Middle Africa",3380.381,3863.735,7481.114,5326.557,8720.875,18550.928,15038.444,28759.077,23811.597,24344.916,30349.968,47626.066,58927.275,104012.739,62591.386,100752.919,180531.665,165235.87,161119.89,208401.058,169311.627,134240.375,159206.392
"      Developing economies: Northern Africa",238818.381,179883.022,154566.377,174837.472,222230.762,206684.438,151673.599,162616.793,194405.258,231361.471,278212.873,299965.43,346214.03,485660.3,433549.873,512434.788,674055.824,745192.246,813803.2830000001,805370.291,789285.1750000001,783034.3860000001,929003.772
"      Developing economies: Southern Africa",50856.984,51092.176,55996.913,47026.321,47372.899,45225.096,34127.508,59252.053,118363.467,82995.10400000001,115036.922,201406.061,240733.114,244999.969,227678.858,309229.569,354451.121,562003.3590000001,465277.191,319256.182,343656.475,360689.005,426778.975
"      Developing economies: Western Africa",42108.513,39444.282,55459.764,106409.806,91023.295,120046.832,145128.298,108945.505,182532.939,186801.325,205312.649,296909.036,405499.335,563886.616,425926.207,531435.426,1024998.428,1023738.998,1012370.348,901018.6850000001,952685.092,748001.318,975892.683
"    Developing economies: America",110425.273,148532.159,209113.545,191595.999,248287.066,280840.174,316697.315,479757.823,393398.36,374756.099,553663.092,706588.5500000001,928152.0870000001,1389591.562,1113245.821,1776626.51,3354311.387,2951482.384,2679380.058,2455488.141,2498723.2,2519408.632,2634034.992
"      Developing economies: Caribbean",34918.118,37353.388,87319.565,66359.766,91336.583,112317.362,103760.758,130995.553,86935.227,54997.662,103766.238,101609.324,143143.109,163985.523,133729.961,169220.348,209039.139,193222.85,221982.66,192993.044,204780.989,213180.159,217853.146
"      Developing economies: Central America",16275.528,29976.864,31185.143,51984.844,58876.947,65225.257,86594.859,161090.512,120892.126,169292.187,238340.551,313729.683,378469.722,478865.568,394375.204,553021.1040000001,1727320.232,1327772.58,809966.9840000001,757127.812,816224.625,956421.188,1081459.324
"      Developing economies: South America",59231.627,81201.90700000001,90608.837,73251.389,98073.53599999999,103297.555,126341.698,187671.758,185571.007,150466.25,211556.303,291249.543,406539.256,746740.471,585140.656,1054385.058,1417952.016,1430486.954,1647430.414,1505367.285,1477717.586,1349807.285,1334722.522
