"PRODUCT -   Resource-based manufactures: agro-based (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",8232225.013,8964851.278000001,9166013.067,8426208.946000001,9524721.283,11485755.873,11813817.758,14166303.751,16843702.704,21711391.142,27655750.073,34331003.556,41951377.271,45397774.993,39090637.748,49286533.957,61966890.863,65189159.104,67077293.01,70820348.023,66020855.877,64128884.133,70567443.31299999
"  Developing economies",3607254.54,3903630.799,3755318.609,3156782.89,3165569.011,4092644.685,4000704.599,4695792.003,5263479.355,6491523.177,8448512.342,10599368.52,13273617.397,15770057.633,14101397.829,18760107.188,24715942.29,26295452.008,28144781.397,30502468.679,30020035.025,29592563.95,32554053.319
"  Transition economies",188582.584,119331.338,86038.02099999999,64100.466,34046.304,54658.38,105395.151,166535.218,239652.231,276121.224,478538.524,805456.269,1258443.041,1681331.397,1217682.526,1856253.766,2909281.645,3036150.141,3135647.809,3055605.314,2029441.403,2028373.389,2372045.873
"  Developed economies",4436387.889,4941889.141,5324656.437,5205325.59,6325105.968,7338452.808,7707718.008,9303976.529999999,11340571.118,14943746.741,18728699.207,22926178.767,27419316.833,27946385.963,23771557.393,28670173.003,34341666.928,35857556.955,35796863.804,37262274.03,33971379.449,32507946.794,35641344.121
"    Developing economies: Africa",109620.837,88097.673,91198.951,101795.271,126500.148,167653.088,194854.716,196153.454,276619.42,408811.569,696614.112,974213.942,1426276.941,1934139.458,2026165.76,2527381.569,3306162.276,4062756.358,4540731.789,4660653.796,4056666.048,3784695.661,4183466.967
"      Developing economies: Eastern Africa",12951.673,15702.531,15607.542,15525.255,19131.246,24918.816,35175.306,33979.057,58604.409,73180.67999999999,104365.927,155112.662,215870.884,303504.162,323090.184,380241.231,486660.767,610822.04,692308.205,802711.708,732484.543,783431.152,832850.902
"      Developing economies: Middle Africa",1575.859,2776.847,3015.049,3090.135,2710.725,3340.492,3484.253,5108.563,8298.125,12454.71,26467.738,44648.055,88072.39999999999,162105.03,192265.136,185009.63,310259.526,404453.861,377353.625,455090.148,329476.296,248060.553,323166.415
"      Developing economies: Northern Africa",46002.475,25299.095,27291.529,35764.136,49220.523,69451.635,51641.314,57807.314,82935.382,139839.915,230819.583,274010.458,407333.949,532171.944,621279.942,755526.356,901978.0110000001,1170524.407,1229974.023,1215251.216,1111144.215,1044715.523,978012.813
"      Developing economies: Southern Africa",25154.199,25259.142,27057.946,24225.027,23884.395,19296.992,19353.07,26500.758,50445.873,79908.29399999999,129024.584,178306.382,315181.92,295575.987,290883.482,444503.005,547608.279,586264.063,615134.139,593009.975,539659.598,523195.353,594201.85
"      Developing economies: Western Africa",23936.631,19060.058,18226.885,23190.718,31553.259,50645.153,85200.773,72757.762,76335.63099999999,103427.97,205936.28,322136.385,399817.788,640782.335,598647.016,762101.347,1059655.693,1290691.987,1625961.797,1594590.749,1343901.396,1185293.08,1455234.987
"    Developing economies: America",79203.875,63211.33,84520.57700000001,105173.943,109534.902,186464.821,219979.517,221921.106,298183.205,474072.508,736159.9080000001,1061264.109,1554687.024,2186555.678,1772390.476,2919573.263,4002747.758,4421211.592,4697779.388,4973377.282,4806389.905,4366497.519,4820121.548
"      Developing economies: Caribbean",33464.066,12321.334,19611.369,17193.68,18750.531,35268.066,44344.712,35826.456,43090.432,63059.146,84141.318,121459.475,143431.662,182355.752,141434.398,200655.97,254006.398,288163.963,294548.058,300321.204,324909.443,296258.601,302667.397
"      Developing economies: Central America",10232.99,10465.497,14279.506,25742.613,31208.866,54840.182,73461.717,101995.625,132324.665,201355.02,321132.563,461738.909,623206.557,763347.1899999999,646717.615,988114.1040000001,1275124.664,1425730.982,1665492.768,1863293.08,1965168.203,1832144.476,1991027.269
"      Developing economies: South America",35506.819,40424.499,50629.702,62237.65,59575.505,96356.573,102173.088,84099.02499999999,122768.108,209658.342,330886.027,478065.725,788048.8050000001,1240852.736,984238.463,1730803.189,2473616.696,2707316.647,2737738.562,2809762.998,2516312.259,2238094.442,2526426.882
