"PRODUCT -   Resource-based manufactures: other (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",9678024.312999999,10044233.838,11450559.798,10735800.974,11887520.412,14889315.917,15896038.368,18410864.512,23863637.568,33613661.274,43093181.291,50053166.825,62326296.338,84041414.17299999,60797473.854,79989923.65000001,97539209.633,95999082.998,103340932.516,110274029.449,102514836.361,98861048.35600001,115315502.323
"  Developing economies",4658154.273,4737064.282,5117728.27,4207314.947,5064670.768,6703567.925,7199324.255,8776159.987,11478475.451,15077767.392,20893650.89,23727245.705,30130792.791,41329665.179,34611420.732,44676373.669,53738026.176,54593466.255,61231909.392,65437975.518,59884768.803,58262070.518,69294445.26800001
"  Transition economies",93455.386,117480.332,174780.803,171162.68,206325.13,202980.784,240378.37,265882.181,373728.505,623127.569,970807.646,1403464.049,1928687.073,2768505.51,1720829.253,2525745.507,3249278.697,3181577.115,3403325.438,3238860.004,2753937.053,2429608.518,3005645.812
"  Developed economies",4926414.654,5189689.224,6158050.725,6357323.347,6616524.514,7982767.208,8456335.743000001,9368822.344000001,12011433.612,17912766.313,21228722.755,24922457.071,30266816.474,39943243.484,24465223.869,32787804.474,40551904.76,38224039.628,38705697.686,41597193.927,39876130.505,38169369.32,43015411.243
"    Developing economies: Africa",195709.286,202283.943,222961.769,252355.193,236813.314,222475.398,302833.079,311151.888,469311.485,678925.5330000001,936287.2070000001,1297870.168,1639469.172,2553909.146,2286895.582,2820348.665,3228633.142,3832566.443,4261194.789,4726298.324,4253765.401,3933617.357,4026111.693
"      Developing economies: Eastern Africa",15917.608,19443.721,19877.899,29838.971,20741.313,25055.389,31303.982,35592.896,44331.816,66485.818,116058.464,133307.178,196243.054,298707.395,290558.039,340655.284,413965.045,581991.773,654702.573,852741.76,792251.218,776164.808,721972.523
"      Developing economies: Middle Africa",1169.18,1037.349,1094.538,4171.978,4415.249,2736.683,5758.001,7571.341,12179.125,24601.303,36544.463,64767.019,121591.317,233494.968,355560.872,408207.62,467829.152,559308.466,581092.388,726699.211,584620.2389999999,419720.065,358791.727
"      Developing economies: Northern Africa",35808.64,36981.42,45139.051,61400.335,55648.282,48545.655,55700.613,75082.50599999999,103723.084,135790.681,237302.352,291219.165,347463.032,557331.684,563250.09,594095.388,662474.115,791516.232,839593.165,851031.0550000001,855894.103,748292.081,858342.167
"      Developing economies: Southern Africa",120436.294,120485.754,128326.502,115556.188,110584.02,95644.667,105635.052,119943.823,204178.803,299614.602,280362.402,358192.613,515480.573,743050.983,520539.214,782732.557,859577.346,864799.08,959787.625,866427.953,871976.855,915190.192,1041282.532
"      Developing economies: Western Africa",22377.564,24335.699,28523.779,41387.721,45424.45,50493.004,104435.431,72961.322,104898.657,152433.129,266019.526,450384.193,458691.196,721324.116,556987.367,694657.816,824787.4840000001,1034950.892,1226019.038,1429398.345,1149022.986,1074250.211,1045722.744
"    Developing economies: America",293231.763,396512.343,531789.178,594634.8760000001,497093.274,690729.3050000001,803197.1139999999,905355.769,1270608.939,1865734.158,2136513.902,2561003.806,3667841.673,6787603.038,4471112.9,5698286.779,7511192.979,8220727.548,8898165.187000001,8983262.242000001,8550233.35,8005447.033,8614562.362
"      Developing economies: Caribbean",13455.876,13754.981,19410.247,18059.16,24199.661,24213.158,33974.352,41282.627,56931.368,56462.66,72761.658,121748.304,150623.764,232365.389,180074.626,196652.993,263088.473,282849.296,256062.37,261606.169,257942.136,220789.921,222030.72
"      Developing economies: Central America",76018.916,99965.516,160916.648,178491.445,150575.353,241511.831,276144.74,294714.366,370374.698,558336.624,754510.516,885365.625,1066712.865,1663843.087,1232194.493,1659814.064,2344919.999,2577113.122,2615574.323,2637846.223,2723998.221,2632903.03,2987572.379
"      Developing economies: South America",203756.971,282791.846,351462.283,398084.271,322318.26,425004.316,493078.022,569358.776,843302.873,1250934.874,1309241.728,1553889.877,2450505.044,4891394.562,3058843.781,3841819.722,4903184.507,5360765.13,6026528.494,6083809.85,5568292.993,5151754.082,5404959.263
