"PRODUCT -   Unclassified products (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",2405185.142,2628367.981,3100760.317,3118905.605,3561958.821,4893699.473,5011165.468,6142692.256,7561096.632,9881371.234999999,14795505.302,17802186.369,24435005.53,23179180.507,27209061.07,22308063.36,28632854.802,42948339.794,41201470.494,37812524.005,31974357.114,29292708.007,29037517.164
"  Developing economies",1361007.144,1439597.968,1659565.459,1476938.079,1555769.525,1743471.651,1919262.72,2451185.847,2763797.952,3587094.217,6550256.277,8406631.615,11765530.746,9664528.881999999,6370669.722,8462991.017000001,14149541.615,28476215.13,27813373.575,23208385.222,16786887.1,13217084.532,12999533.849
"  Transition economies",4216.895,3563.803,50453.028,7653.66,12067.469,77587.67600000001,11351.993,9663.673000000001,17461.892,33159.217,19198.726,47047.237,76637.89999999999,245797.123,317977.278,413554.162,303735.748,227656.543,256198.064,564638.063,262401.03,520823.141,585926.29
"  Developed economies",1039961.103,1185206.21,1390741.83,1634313.866,1994121.827,3072640.146,3080550.755,3681842.736,4779836.788,6261117.801,8226050.299,9348507.517000001,12592836.884,13268854.502,20520414.07,13431518.181,14179577.439,14244468.121,13131898.855,14039500.72,14925068.984,15554800.334,15452057.025
"    Developing economies: Africa",16626.39,18529.077,21483.657,15452.653,23918.257,25988.036,110295.231,131168.315,83965.026,142139.48,205937.9,244350.077,428972.279,192211.611,196686.208,208294.463,255626.111,338568.73,430260.744,555813.835,1044500.769,470938.065,441147.703
"      Developing economies: Eastern Africa",3886.578,4625.662,5358.375,4735.683,3140.51,11876.385,13889.585,4957.474,16398.254,42199.322,42431.28,73529.40700000001,105372.643,31741.604,18823.874,24298.847,43104.324,54204.86,49109.33,127897.656,179236.663,44446.085,51904.47
"      Developing economies: Middle Africa",144.133,20.782,29.143,76.374,10217.423,217.993,71.804,1674.991,1176.7,1509.936,2114.017,5139.252,15449.947,4321.101,8301.869000000001,6409.746,9340.245000000001,22984.715,18101.055,67323.88099999999,491079.929,7478.063,6921.528
"      Developing economies: Northern Africa",453.912,1171.875,2951.736,861.693,828.103,1005.169,77578.046,107449.453,48306.1,74962.659,97259.807,64075.867,160892.571,29945.162,37970.988,71581.27,34181.57,35735.722,65244.215,50772.188,53268.357,51909.982,31326.68
"      Developing economies: Southern Africa",7567.608,7728.017,7348.58,8033.195,7438.948,3576.707,9090.058999999999,6664.674,11917.315,13876.84,41811.025,87486.281,85635.61900000001,83665.74400000001,56247.374,73834.785,104385.388,178810.338,238406.12,236844.931,276237.609,286984.228,298810.031
"      Developing economies: Western Africa",4574.159,4982.741,5795.823,1745.708,2293.273,9311.781999999999,9665.736999999999,10421.723,6166.657,9590.723,22321.771,14119.27,61621.499,42538,75342.103,32169.815,64614.584,46833.095,59400.024,72975.179,44678.211,80119.707,52184.994
"    Developing economies: America",17348.313,29950.827,57909.528,75076.861,99896.432,144255.693,86614.27400000001,199775.469,174362.041,463708.219,558604.429,769321.711,6619900.708,987750.08,954778.424,1266489.152,1802980.305,2508882.793,2515722.216,2569249.922,3020999.449,2553882.219,3737466.738
"      Developing economies: Caribbean",256.21,122.182,513.132,694.019,582.12,732.6710000000001,1227.807,17292.321,1999.268,3345.203,10457.05,9708.763999999999,23289.867,13701.362,7734.371,7632.133,9652.188,5176.979,7717.623,7922.283,9099.564,6880.047,10066.638
"      Developing economies: Central America",13090.334,16799.29,48027.971,56857.342,89944.10799999999,131837.713,61666.358,166546.979,149465.282,424904.499,494549.614,647342.399,3931704.949,784876.1360000001,791265.048,1043572.431,1314680.786,1782830.089,1730252.249,2229603.898,2686394.647,2280881.854,3455055.506
"      Developing economies: South America",4001.769,13029.355,9368.424999999999,17525.5,9370.204,11685.309,23720.109,15936.169,22897.491,35458.517,53597.765,112270.548,2664905.892,189172.582,155779.005,215284.588,478647.331,720875.725,777752.344,331723.741,325505.238,266120.318,272344.594
